TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,4,22,16,52,12XX SEYMOUR ST,Central Business District,498590,5056001
Other Theft,2019,9,3,16,52,12XX SEYMOUR ST,Central Business District,492201,5215420
Other Theft,2013,5,1,16,52,12XX RICHARDS ST,Central Business District,499191,5364231
Vehicle Collision or Pedestrian Struck (with Injury),2006,2,10,16,52,9XX BLOCK GRANVILLE ST,Central Business District,493278,5282760
Other Theft,2012,4,4,16,51,12XX SEYMOUR ST,Central Business District,496927,5390407
Other Theft,2013,12,23,16,51,12XX SEYMOUR ST,Central Business District,510113,5342051
Mischief,2020,2,8,16,51,10XX ALBERNI ST,West End,508431,5135839
Vehicle Collision or Pedestrian Struck (with Fatality),2016,10,11,16,50,YEW ST / W 49TH AVE,Kerrisdale,507120,5231760
Break and Enter Residential/Other,2016,8,12,16,50,11XX BEACH AVE,West End,495058,5262027
Other Theft,2015,5,13,16,50,12XX SEYMOUR ST,Central Business District,505235,5148369
Vehicle Collision or Pedestrian Struck (with Injury),2006,4,14,16,50,ALBERTA ST / W 7TH AVE,Mount Pleasant,499595,5068111
Theft of Bicycle,2010,12,10,16,50,ETON ST / N NANAIMO ST,Grandview-Woodland,502059,5375603
Theft of Bicycle,2009,9,17,16,50,E HASTINGS ST / KAMLOOPS ST,Hastings-Sunrise,511141,5168650
Vehicle Collision or Pedestrian Struck (with Injury),2015,8,28,16,48,9XX BLOCK W 41ST AVE,Oakridge,502718,5085576
Other Theft,2006,10,23,16,48,12XX RICHARDS ST,Central Business District,501568,5110960
Other Theft,2017,2,28,16,48,12XX RICHARDS ST,Central Business District,503114,5318170
Mischief,2015,9,12,16,47,10XX BURRARD ST,West End,497214,5416055
Other Theft,2014,3,31,16,47,12XX SEYMOUR ST,Central Business District,501399,5357490
Other Theft,2010,10,1,16,46,12XX SEYMOUR ST,Central Business District,510232,5460213
Vehicle Collision or Pedestrian Struck (with Injury),2006,8,16,16,46,8XX BLOCK SMITHE ST,Central Business District,491779,5191769
Vehicle Collision or Pedestrian Struck (with Injury),2014,7,24,16,46,8XX BLOCK SMITHE ST,Central Business District,491904,5318434
Other Theft,2017,3,20,16,46,14XX E 41ST AVE,Kensington-Cedar Cottage,509004,5218145
Other Theft,2019,12,7,16,45,13XX W BROADWAY AVE,Fairview,492884,5422994
Break and Enter Commercial,2017,3,28,16,45,10XX BEACH AVE,Central Business District,499158,5401441
Vehicle Collision or Pedestrian Struck (with Injury),2008,12,1,16,45,ALBERNI ST / BROUGHTON ST,West End,509457,5147653
Other Theft,2014,1,28,16,45,12XX GRANVILLE ST,Central Business District,495530,5031169
Other Theft,2018,1,22,16,45,12XX SEYMOUR ST,Central Business District,491886,5427706
Other Theft,2014,11,16,16,45,13XX RICHARDS ST,Central Business District,492813,5155137
Theft of Bicycle,2006,10,22,16,45,E 3RD AVE / MAIN ST,Mount Pleasant,504121,5177377
Theft of Bicycle,2015,4,15,16,45,E 2ND AVE / MAIN ST,Mount Pleasant,500775,5146527
Theft of Bicycle,2009,7,24,16,45,E PENDER ST / MAIN ST,Strathcona,508546,5400889
Theft of Bicycle,2009,6,19,16,45,E 2ND AVE / SCOTIA ST,Mount Pleasant,491277,5170859
Break and Enter Residential/Other,2012,10,1,16,44,11XX BURNABY ST,West End,509545,5444550
Theft from Vehicle,2009,12,18,16,44,13XX ROBSON ST,West End,498262,5331539
Vehicle Collision or Pedestrian Struck (with Injury),2013,12,13,16,44,ALBERTA ST / W 49TH AVE,Oakridge,499087,5303597
Vehicle Collision or Pedestrian Struck (with Injury),2015,11,6,16,44,ADANAC ST / MCLEAN DR,Grandview-Woodland,503575,5028486
Other Theft,2017,5,17,16,43,13XX W BROADWAY AVE,Fairview,491112,5123561
Other Theft,2018,3,20,16,41,12XX W BROADWAY AVE,Fairview,509369,5097525
Vehicle Collision or Pedestrian Struck (with Injury),2004,6,12,16,41,8XX BLOCK KINGSWAY AVE,Kensington-Cedar Cottage,508960,5074198
Vehicle Collision or Pedestrian Struck (with Injury),2019,2,22,16,41,8XX BLOCK TERMINAL AVE,Strathcona,507153,5152296
Break and Enter Commercial,2004,10,28,16,40,20XX STEPHENS ST,Kitsilano,492422,5024548
Theft from Vehicle,2016,5,30,16,40,13XX W 33RD AVE,Shaughnessy,501200,5146795
Other Theft,2007,1,21,16,40,12XX GRANVILLE ST,Central Business District,493345,5257054
Mischief,2019,3,15,16,40,10XX BURRARD ST,West End,503011,5351567
Other Theft,2014,10,17,16,40,12XX SEYMOUR ST,Central Business District,499303,5062016
Other Theft,2003,10,2,16,40,12XX RICHARDS ST,Central Business District,505665,5401193
Other Theft,2004,11,16,16,40,12XX RICHARDS ST,Central Business District,507749,5461666
Theft of Bicycle,2009,9,23,16,40,E BROADWAY AVE / MAIN ST,Mount Pleasant,506279,5158566
Other Theft,2014,8,16,16,40,14XX E HASTINGS ST,Grandview-Woodland,501344,5336727
Other Theft,2013,9,4,16,40,13XX SALSBURY DR,Grandview-Woodland,506610,5032250
Other Theft,2019,3,22,16,39,12XX GRANVILLE ST,Central Business District,491727,5101874
Other Theft,2016,3,10,16,39,12XX RICHARDS ST,Central Business District,490879,5115345
Vehicle Collision or Pedestrian Struck (with Injury),2016,4,21,16,39,9XX BLOCK ROBSON ST,Central Business District,503232,5116423
Vehicle Collision or Pedestrian Struck (with Fatality),2006,9,17,16,39,69XX BLOCK FLEMING ST,Victoria-Fraserview,498346,5244467
Theft from Vehicle,2017,12,1,16,38,13XX W 14TH AVE,Fairview,502777,5007516
Other Theft,2018,7,8,16,38,12XX W BROADWAY AVE,Fairview,490463,5384791
Break and Enter Commercial,2007,3,13,16,38,10XX ALBERNI ST,West End,506111,5410384
Theft of Bicycle,2013,5,31,16,38,E 6TH AVE / ONTARIO ST,Mount Pleasant,504605,5445509
Other Theft,2007,9,14,16,38,14XX E HASTINGS ST,Grandview-Woodland,496173,5194434
Theft from Vehicle,2006,1,14,16,37,13XX ROBSON ST,West End,511063,5305208
Mischief,2018,12,17,16,36,19XX W 4TH AVE,Kitsilano,495167,5416289
Other Theft,2017,3,29,16,36,13XX W BROADWAY AVE,Fairview,490403,5138184
Other Theft,2012,10,30,16,35,12XX SEYMOUR ST,Central Business District,499752,5144947
Other Theft,2005,1,28,16,35,12XX RICHARDS ST,Central Business District,509605,5318949
Other Theft,2005,4,25,16,35,12XX RICHARDS ST,Central Business District,499884,5066294
Vehicle Collision or Pedestrian Struck (with Injury),2008,8,8,16,35,9XX BLOCK CLARK DR,Grandview-Woodland,510801,5335602
Vehicle Collision or Pedestrian Struck (with Fatality),2004,11,1,16,35,E 54TH AVE / KERR ST,Killarney,490836,5314691
Other Theft,2015,2,6,16,33,12XX SEYMOUR ST,Central Business District,494647,5328122
Vehicle Collision or Pedestrian Struck (with Injury),2015,12,1,16,33,ALBERTA ST / W 49TH AVE,Oakridge,497500,5361855
Break and Enter Commercial,2017,2,21,16,32,20XX W 11TH AVE,Kitsilano,493271,5428450
Other Theft,2018,4,16,16,32,12XX SEYMOUR ST,Central Business District,497117,5412875
Vehicle Collision or Pedestrian Struck (with Injury),2006,8,6,16,32,9XX BLOCK E 8TH AVE,Mount Pleasant,493971,5083742
Break and Enter Residential/Other,2005,9,30,16,31,11XX E 10TH AVE,Mount Pleasant,503062,5321766
Break and Enter Commercial,2009,12,29,16,30,20XX HIGHBURY ST,West Point Grey,498478,5326438
Break and Enter Commercial,2010,2,15,16,30,20XX W 12TH AVE,Kitsilano,511072,5252724
Mischief,2009,10,2,16,30,19XX W 62ND AVE,Kerrisdale,497373,5394882
Break and Enter Commercial,2015,4,30,16,30,20XX NELSON ST,West End,497861,5369442
Theft from Vehicle,2019,2,6,16,30,13XX W 10TH AVE,Fairview,509014,5421873
Theft from Vehicle,2009,5,19,16,30,13XX W 15TH AVE,Fairview,492261,5130004
Theft from Vehicle,2019,9,23,16,30,13XX W 12TH AVE,Fairview,499122,5372562
Theft from Vehicle,2009,3,20,16,30,13XX W 11TH AVE,Fairview,492979,5352710
Theft from Vehicle,2017,6,16,16,30,13XX W 14TH AVE,Fairview,503413,5255097
Theft from Vehicle,2017,11,24,16,30,13XX W 14TH AVE,Fairview,495095,5082706
Theft from Vehicle,2003,12,5,16,30,13XX W 12TH AVE,Fairview,494392,5298085
Theft from Vehicle,2017,9,25,16,30,13XX THURLOW ST,West End,510184,5414951
Break and Enter Commercial,2017,5,17,16,30,10XX BURNABY ST,West End,503191,5416230
Theft from Vehicle,2004,1,11,16,30,13XX ROBSON ST,West End,508979,5136946
Theft from Vehicle,2008,8,31,16,30,13XX ROBSON ST,West End,505001,5342924
Break and Enter Residential/Other,2009,10,16,16,30,10XX WOLFE AVE,Shaughnessy,505531,5078737
Mischief,2019,1,7,16,30,10XX BURRARD ST,West End,507416,5378171
Mischief,2018,7,13,16,30,10XX BURRARD ST,Central Business District,493056,5211823
Mischief,2011,8,16,16,30,10XX BURRARD ST,Central Business District,511107,5152564
Mischief,2014,6,2,16,30,10XX BURRARD ST,Central Business District,497854,5092306
Theft from Vehicle,2010,9,9,16,30,13XX SEYMOUR ST,Central Business District,492391,5298370
Mischief,2007,2,17,16,30,10XX BURRARD ST,West End,501077,5283977
Other Theft,2003,8,21,16,30,12XX RICHARDS ST,Central Business District,504672,5007752
Theft of Bicycle,2005,7,17,16,30,FALSE CREEK,Fairview,505497,5091746
Break and Enter Commercial,2009,2,22,16,30,680C LEG IN BOOT SQ,Fairview,505284,5034225
Break and Enter Commercial,2003,6,27,16,30,6X KEEFER PL,Central Business District,502541,5060087
Break and Enter Commercial,2018,10,27,16,30,6X W 6TH AVE,Mount Pleasant,497794,5418530
Theft of Bicycle,2011,7,1,16,30,E BROADWAY AVE / ONTARIO ST,Mount Pleasant,503970,5186463
Theft of Bicycle,2017,7,17,16,30,E 8TH AVE / QUEBEC ST,Mount Pleasant,499747,5045952
Theft of Bicycle,2008,5,28,16,30,E 26TH AVE / MAIN ST,Riley Park,498356,5245809
Break and Enter Commercial,2003,2,11,16,30,2XX E GEORGIA ST,Strathcona,492340,5385720
Break and Enter Commercial,2015,8,23,16,30,2XX E 8TH AVE,Mount Pleasant,506795,5134161
Theft from Vehicle,2015,11,10,16,30,13XX STATION ST,Strathcona,506368,5091140
Theft of Bicycle,2015,6,8,16,30,E CORDOVA ST / GORE AVE,Strathcona,490252,5192827
Theft of Bicycle,2017,11,7,16,30,E PENDER ST / GLEN DR,Strathcona,496407,5270100
Break and Enter Residential/Other,2006,9,5,16,30,11XX E 14TH AVE,Mount Pleasant,496141,5129241
Theft from Vehicle,2005,4,13,16,30,13XX SE MARINE DR,Sunset,510088,5197224
Break and Enter Residential/Other,2003,12,22,16,30,11XX E PENDER ST,Strathcona,505585,5273631
Break and Enter Residential/Other,2017,4,4,16,30,11XX E GEORGIA ST,Strathcona,502780,5066687
Break and Enter Residential/Other,2017,8,30,16,30,11XX E HASTINGS ST,Strathcona,501993,5035724
Other Theft,2005,3,8,16,30,14XX E HASTINGS ST,Grandview-Woodland,507948,5272710
Theft of Bicycle,2015,8,7,16,30,E PENDER ST / MCLEAN DR,Grandview-Woodland,504083,5275439
Theft of Vehicle,2007,12,6,16,30,E 11TH AVE / WOODLAND DR,Kensington-Cedar Cottage,492775,5318185
Theft of Bicycle,2017,8,11,16,30,E 5TH AVE / WOODLAND DR,Grandview-Woodland,492989,5242757
Break and Enter Commercial,2015,9,17,16,30,20XX E KENT S AVE,Victoria-Fraserview,501455,5417366
Theft of Bicycle,2015,5,2,16,30,E HASTINGS ST / VICTORIA DR,Grandview-Woodland,503903,5347301
Break and Enter Commercial,2006,12,21,16,30,20XX HARRISON DR,Victoria-Fraserview,505814,5331249
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,9,16,30,ADANAC ST / LILLOOET ST,Hastings-Sunrise,501099,5082987
Theft from Vehicle,2008,8,13,16,29,13XX ROBSON ST,West End,495252,5180689
Theft of Bicycle,2015,3,30,16,29,E HASTINGS ST / MAIN ST,Strathcona,505936,5319565
Other Theft,2004,11,14,16,29,14XX E HASTINGS ST,Grandview-Woodland,500317,5101374
Other Theft,2004,4,20,16,28,12XX GRANVILLE ST,Central Business District,499607,5414967
Break and Enter Commercial,2004,9,28,16,27,6X E 3RD AVE,Mount Pleasant,490113,5150490
Other Theft,2004,3,17,16,26,12XX GRANVILLE ST,Central Business District,499649,5213768
Other Theft,2007,1,31,16,26,12XX ROBSON ST,West End,504933,5185389
Vehicle Collision or Pedestrian Struck (with Injury),2016,11,6,16,26,ALBERTA ST / W 7TH AVE,Mount Pleasant,501324,5026420
Vehicle Collision or Pedestrian Struck (with Fatality),2008,7,15,16,26,24XX BLOCK CLARK DR,Mount Pleasant,494185,5162309
Other Theft,2016,11,4,16,24,13XX DAVIE ST,West End,501217,5385055
Mischief,2013,8,15,16,24,10XX BURRARD ST,West End,505464,5024555
Other Theft,2016,4,8,16,24,12XX MAIN ST,Central Business District,508342,5433174
Other Theft,2003,12,18,16,23,12XX RICHARDS ST,Central Business District,507257,5398753
Theft of Bicycle,2019,9,13,16,23,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,491518,5177761
Other Theft,2013,12,17,16,22,12XX SEYMOUR ST,Central Business District,506780,5253549
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,14,16,22,ABBOTT ST / W HASTINGS ST,Central Business District,504270,5420613
Other Theft,2010,8,28,16,21,12XX W BROADWAY AVE,Fairview,495211,5273723
Other Theft,2011,8,7,16,21,12XX W BROADWAY AVE,Fairview,509820,5005000
Other Theft,2017,5,10,16,21,12XX W PENDER ST,Central Business District,506418,5029182
Mischief,2007,9,24,16,20,10XX BURNABY ST,West End,510207,5099422
Other Theft,2006,1,18,16,20,12XX RICHARDS ST,Central Business District,496308,5255241
Theft of Bicycle,2015,2,21,16,20,E 2ND AVE / QUEBEC ST,Mount Pleasant,506876,5375796
Theft of Bicycle,2009,5,17,16,20,E KING EDWARD AVE / MAIN ST,Riley Park,507455,5161511
Theft of Bicycle,2005,8,26,16,20,E 33RD AVE / WINDSOR ST,Kensington-Cedar Cottage,493410,5367802
Break and Enter Residential/Other,2003,11,14,16,20,11XX E BROADWAY AVE,Mount Pleasant,501719,5002932
Theft of Bicycle,2014,10,30,16,20,E HASTINGS ST / SLOCAN ST,Hastings-Sunrise,503653,5140125
Mischief,2008,6,4,16,20,10XX BOUNDARY RD,Hastings-Sunrise,496448,5329573
Other Theft,2012,3,1,16,19,12XX RICHARDS ST,Central Business District,496090,5054152
Other Theft,2015,8,13,16,19,12XX RICHARDS ST,Central Business District,500444,5163064
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,8,16,19,9XX BLOCK MAIN ST,Strathcona,493968,5301627
Break and Enter Commercial,2007,7,13,16,19,14XX E 7TH AVE,Grandview-Woodland,504824,5039372
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,4,16,19,8XX BLOCK RENFREW ST,Hastings-Sunrise,510409,5095837
Other Theft,2006,7,13,16,18,13XX ROBSON ST,West End,501310,5109428
Theft from Vehicle,2007,4,7,16,17,13XX ROBSON ST,West End,496688,5438561
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,13,16,17,9XX BLOCK W 10TH AVE,Fairview,500724,5038796
Vehicle Collision or Pedestrian Struck (with Injury),2015,5,4,16,17,9XX BLOCK QUEBEC ST,Central Business District,503803,5401317
Mischief,2009,5,5,16,16,10XX BURNABY ST,West End,501192,5119294
Other Theft,2007,5,6,16,16,12XX GRANVILLE ST,Central Business District,494955,5086675
Mischief,2018,7,15,16,15,19XX W 1ST AVE,Kitsilano,504480,5325809
Other Theft,2018,7,11,16,15,12XX W BROADWAY AVE,Fairview,493235,5171214
Other Theft,2005,9,11,16,15,12XX GRANVILLE ST,Central Business District,491712,5201091
Other Theft,2004,4,15,16,15,12XX RICHARDS ST,Central Business District,508445,5054596
Other Theft,2004,6,18,16,15,12XX RICHARDS ST,Central Business District,509221,5191982
Other Theft,2017,4,7,16,15,12XX RICHARDS ST,Central Business District,492458,5362315
Theft of Bicycle,2013,8,14,16,15,E 21ST AVE / MAIN ST,Riley Park,491278,5199538
Break and Enter Residential/Other,2012,4,2,16,15,11XX E BROADWAY AVE,Mount Pleasant,496182,5255927
Break and Enter Residential/Other,2003,1,24,16,15,11XX E BROADWAY AVE,Mount Pleasant,501092,5043125
Break and Enter Residential/Other,2011,11,21,16,15,11XX E 13TH AVE,Mount Pleasant,500502,5436181
Break and Enter Commercial,2019,12,24,16,15,14XX E BROADWAY AVE,Grandview-Woodland,497102,5204808
Other Theft,2008,1,26,16,15,13XX COMMERCIAL DR,Grandview-Woodland,507905,5069819
Vehicle Collision or Pedestrian Struck (with Fatality),2008,6,28,16,15,26XX BLOCK E BROADWAY AVE,Hastings-Sunrise,505773,5439887
Other Theft,2011,4,13,16,14,13XX ROBSON ST,West End,506050,5361012
Other Theft,2003,7,30,16,14,12XX GRANVILLE ST,Central Business District,502774,5203387
Vehicle Collision or Pedestrian Struck (with Fatality),2007,7,5,16,14,W 45TH AVE / CAMBIE ST,Oakridge,499278,5382932
Vehicle Collision or Pedestrian Struck (with Injury),2008,8,14,16,14,9XX BLOCK E HASTINGS ST,Strathcona,491225,5068642
Other Theft,2016,10,17,16,13,12XX ROBSON ST,West End,503748,5012961
Other Theft,2009,10,12,16,13,12XX ROBSON ST,West End,501110,5350252
Theft of Vehicle,2011,12,2,16,13,E 12TH AVE / KASLO ST,Renfrew-Collingwood,509169,5273543
Break and Enter Residential/Other,2008,7,26,16,12,11XX E BROADWAY AVE,Mount Pleasant,495667,5123793
Other Theft,2017,10,31,16,11,13XX JOHNSTON ST,Fairview,506501,5104018
Break and Enter Residential/Other,2008,6,3,16,11,11XX COMOX ST,West End,502378,5265037
Theft of Bicycle,2010,10,10,16,11,E HASTINGS ST / GORE AVE,Strathcona,505488,5233843
Theft from Vehicle,2012,12,1,16,11,13XX SLOCAN ST,Hastings-Sunrise,504836,5417137
Theft from Vehicle,2007,4,21,16,10,13XX ROBSON ST,West End,494875,5265149
Mischief,2014,7,7,16,10,10XX BURRARD ST,West End,492784,5423450
Other Theft,2005,5,31,16,10,12XX RICHARDS ST,Central Business District,509315,5240306
Vehicle Collision or Pedestrian Struck (with Injury),2010,8,25,16,10,8XX GRIFFITHS WAY,Central Business District,507527,5006807
Other Theft,2018,8,15,16,10,12XX MAIN ST,Central Business District,504537,5001674
Theft of Vehicle,2019,1,8,16,10,E 10TH AVE / PRINCE EDWARD ST,Mount Pleasant,502721,5424836
Theft of Bicycle,2008,11,19,16,10,E 49TH AVE / VICTORIA DR,Victoria-Fraserview,504684,5078465
Mischief,2018,3,6,16,9,10XX BURRARD ST,West End,496764,5273233
Vehicle Collision or Pedestrian Struck (with Injury),2006,9,27,16,9,9XX BLOCK POWELL ST,Strathcona,506786,5095312
Vehicle Collision or Pedestrian Struck (with Injury),2006,4,12,16,8,ABBOTT ST / W HASTINGS ST,Central Business District,501810,5122757
Break and Enter Commercial,2008,7,2,16,8,66XX MAIN ST,Sunset,498759,5074115
Vehicle Collision or Pedestrian Struck (with Injury),2008,10,8,16,7,9XX HORNBY ST,Central Business District,490328,5116459
Other Theft,2012,6,15,16,6,12XX SEYMOUR ST,Central Business District,498043,5004561
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,6,16,6,8XX BLOCK GRANVILLE ST,Central Business District,492148,5023345
Break and Enter Commercial,2018,12,31,16,6,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,509189,5373316
Other Theft,2017,6,22,16,5,12XX SEYMOUR ST,Central Business District,495914,5236335
Vehicle Collision or Pedestrian Struck (with Injury),2019,10,1,16,5,ABBOTT ST / W HASTINGS ST,Central Business District,500370,5368298
Break and Enter Residential/Other,2012,8,23,16,5,11XX E 54TH AVE,Sunset,502210,5058075
Other Theft,2014,10,26,16,3,12XX PACIFIC BLVD,Central Business District,508996,5386982
Mischief,2010,4,4,16,2,19XX W 4TH AVE,Kitsilano,505512,5358622
Other Theft,2018,8,5,16,2,12XX SEYMOUR ST,Central Business District,509822,5385230
Other Theft,2016,6,6,16,2,12XX RICHARDS ST,Central Business District,496134,5304410
Break and Enter Commercial,2010,1,16,16,2,2XX E BROADWAY AVE,Mount Pleasant,507876,5019421
Other Theft,2017,11,14,16,2,14XX E 41ST AVE,Kensington-Cedar Cottage,510112,5337695
Vehicle Collision or Pedestrian Struck (with Injury),2019,11,8,16,1,ALBERNI ST / NICOLA ST,West End,493607,5358890
Other Theft,2012,4,10,16,1,12XX SEYMOUR ST,Central Business District,494858,5225968
Break and Enter Commercial,2006,9,22,16,0,66XX SALISH DR,Musqueam,495711,5437645
Break and Enter Commercial,2015,1,9,16,0,66XX MARINE CRES,Kerrisdale,497158,5424594
Mischief,2011,5,22,16,0,19XX W 62ND AVE,Kerrisdale,499873,5424442
Break and Enter Commercial,2005,1,25,16,0,20XX W 15TH AVE,Kitsilano,493684,5096577
Mischief,2004,9,7,16,0,19XX W 43RD AVE,Kerrisdale,502747,5306508
Break and Enter Commercial,2003,1,12,16,0,20XX MAPLE ST,Kitsilano,507072,5141150
Mischief,2011,1,29,16,0,19XX W 45TH AVE,Kerrisdale,509265,5136699
Mischief,2009,6,28,16,0,19XX W 1ST AVE,Kitsilano,491909,5057648
Mischief,2016,6,28,16,0,19XX W 1ST AVE,Kitsilano,496905,5224861
